Anger,Anticipation/Expectation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Positive,Negative,Neutral
advocacy,accountability,angry,assaulted,advocate,ancestors,assaulted,accountability,accountability,angry,ancestors
advocate,accountable,anger,assault,advocacy,ancestor,assault,accountable,accountable,anger,ancestor
anger,advocacy,brutality,brutality,ancestors,apology,body,advocate,advocacy,assaulted,authorities
angry,action,body,body,ancestor,apologize,crime,advocacy,action,assault,authority
apologize,advocate,brutalize,brutalize,bless,assault,crimes,apologize,advocate,brutality,body
apology,amplify,crime,change,blessed,assaulted,kidnap,apology,amplify,brutalize,case
assault,apologize,crimes,child,blessing,bless,kidnapping,ceremony,apologize,colonial,change 
assaulted,apology,discriminate,children,ceremony,blessed,kill,ceremonies,apology,colonialism,changed
authorities,case,discrimination,crime,ceremonies,body,killing,ceremonial,blessed,colonize,child
authority,ceremony,domestic,crimes,ceremonial,blessing,murder,community,bless,crime,children
brutality,ceremonies,hate ,crisis,change,case,murdered,communities,blessing,crimes,committee
brutalize,ceremonial,hatred,daughter,changed,child,violent,congress,ceremony,crisis,congress
case,change,injustice,discriminate,child,children,violence,council,ceremonies,discriminate,council
change,chnaged,injustices,discrimination,children,colonial,,education,ceremonial,discrimination,daughter
changed,child,kill,domestic,compassion,colonialism,,educate,communirt,fear,domestic
colonial,children,killing,fear,compassionate,colonize,,educated,communities,grief,family
colonialism,committee,mad,feminist,daughter,crisis,,equality,compassion,grieving,girl
colonize,congress,murder,feminism,equality,daughter,,government,compassionate,hate,girls
crime,council,murdered,fight,family,discriminate,,heal,education,hatred,government
crimes,crisis,oppression,fighting,girl,discrimination,,healing,educate,hopeless,grandmother
discriminate,education,oppressed,fought,girls,domestic,,justice,educated,injustice,grandmothers
discrimination,educated,outrage,girl,grandmother,family,,law,equality ,injustices,history
crime,educate,settler,girls,grandmothers,fear,,laws,feminist,invisible,historical
crimes,feminist,settlers,grandmother,heal,girl,,matriarch,feminism,kidnap,historic
crisis,feminism,stigma,grandmothers,healing,girls,,matriarchy,heal,kidnapping,indigenous
domestic,fight,stigmatize,hate,love,grandmother,,nation,healing,kill,law
fight,fighting,stigmatized,hatred,loved,grandmothers,,national,investigate,killing,laws
fighting,fought,unlawful,hopeless,beloved,grief,,police,justice,lost,media
fought,government,violent,invisible,matriarch,grieving,,policeman,land,mad,memory
hate,heal,violence,kidnap,matriarchy,hate,,cop,listen,missing,memories
hatred,healing,,kidnapping,mother,hatred,,rcmp,listening,murder,memorialize
injustice,investigate,,kill,mothers,hopeless,,prayer,love,murdered,mother 
injustices,justice,,killing,prayer,invisible,,prayers,loved,oppression,mothers
invisible,law,,lost,prayers,kidnap,,protect,beloved,oppressed,nation
kidnap,laws,,mad,relative,kidnapping,,protection,matriarch,patriarchal,national
kidnapping,listen,,missing,relations,kill,,protected,matriarchy,patriarchy,native
mad,listening,,mother,relation,kiling,,representative,pass,police,natives
murder,media,,mothers,resilient,lost,,respect,passage,policeman,politics
murdered,pass,,murder,resilience,memory,,respected,passed,cop,politician
oppression,passage,,murdered,resolution,memories,,respectful,prayer,rcmp,protest
oppressed,passed,,patriarchal,hearing,memorialize,,sovereign,prayers,racism,protesting
outrage,prayer,,patriarchy,sister,missing,,sovereignty ,protect,racist,red
patriarchal,prayers,,police,sisters,mother,,treaty,protection,settler,relative
patriarchy,protect,,policeman,victory,mothers,,treaties,protected,settlers,relations
police,protection,,cop,victories,murder,,tribe,resilient,silent,relation
policeman,protected,,rcmp,wives,murdered,,tribes,resilience,silence,remember 
cop,protest,,racism,wife,red,,truth,resist,silenced,remembrance
rcmp,protesting,,racist,woman,relative,,truthful,resistance,stigma,representative
politics,remember,,silent,women,relations,,victory,respect,stigmatize,reservation
politician,remembrance,,silence,,relation,,victories,respected,stigmatized,reserve
protest,representative,,silenced,,remember,,voice,respectful,stolen,resolution
protesting,resist,,sister,,remembrance,,voices,sovereign,stole,hearing
racism,resistance,,sisters,,silent,,,sovereignty ,threat,sister
racist,resolution,,stigma,,silence,,,truth,threaten,sisters
red,hearing,,stigmatize,,silenced,,,truthful,trauma,territory
reservation,respect,,stigmatized,,sister,,,victory,traumatic,territories
reserve,respected,,threat,,sisters,,,victories,traumatized,treaty
resist,respectful,,threaten,,stigma,,,voice,unlawful,treaties
resistance,victory,,trauma,,stigmatize,,,voices,victim,tribe
settler,victories,,traumatic,,stigmatized,,,warrior,victims,tribes
settlers,vigil,,traumatized,,stolen,,,warriors,violent,vigil
silent,voice,,unlawful,,stole,,,,violence,wives
silence,voices,,victim,,trauma,,,,voiceless,wife
silenced,warrior,,victims,,traumatic,,,,,woman
stigma,warriors,,violent,,traumatized,,,,,women
stigmatize,,,violence,,unlawful,,,,,
stigmatized,,,wives,,victim,,,,,
stolen,,,wife,,victims,,,,,
stole,,,woman,,vigil,,,,,
threat,,,women,,wives,,,,,
threaten,,,,,wife,,,,,
trauma,,,,,woman,,,,,
traumatic,,,,,women,,,,,
traumatized,,,,,,,,,,
unlawful,,,,,,,,,,
victim,,,,,,,,,,
victims,,,,,,,,,,
violent,,,,,,,,,,
violence,,,,,,,,,,
voiceless,,,,,,,,,,
warrior,,,,,,,,,,
warriors,,,,,,,,,,
